,cik_No1,cik_No2
0,5272,16972
1,5272,35527
2,5272,712050
3,5272,713676
4,5272,732905
5,5272,773411
6,5272,775368
7,5272,857508
8,5272,859139
9,5272,914933
10,5272,944804
11,5272,1056527
12,5272,1080107
13,5272,1105837
14,5272,1130787
15,5272,1140771
16,5272,1166588
17,5272,1360798
18,5272,1364742
19,5272,1373442
20,5272,1374170
21,5272,1394866
22,5272,1415996
23,5272,1447946
24,5272,1463559
25,5272,1535811
26,5272,1582202
27,5272,1595509
28,5272,1609674
29,5272,1666736
30,5272,1715635
31,5272,1764403
32,5272,1794820
33,16972,5272
34,16972,16972
35,16972,35527
36,16972,356264
37,16972,712050
38,16972,713676
39,16972,732905
40,16972,733986
41,16972,773411
42,16972,775368
43,16972,857508
44,16972,859139
45,16972,914933
46,16972,944804
47,16972,1002672
48,16972,1008322
49,16972,1056527
50,16972,1078246
51,16972,1080107
52,16972,1082621
53,16972,1105837
54,16972,1130787
55,16972,1140771
56,16972,1166588
57,16972,1271347
58,16972,1285973
59,16972,1297376
60,16972,1360798
61,16972,1364742
62,16972,1373442
63,16972,1374170
64,16972,1376113
65,16972,1399794
66,16972,1411530
67,16972,1415996
68,16972,1418329
69,16972,1447946
70,16972,1454759
71,16972,1463559
72,16972,1508097
73,16972,1509974
74,16972,1510668
75,16972,1535811
76,16972,1539994
77,16972,1541897
78,16972,1548916
79,16972,1595509
80,16972,1603001
81,16972,1615135
82,16972,1633343
83,16972,1664713
84,16972,1666736
85,16972,1672067
86,16972,1686444
87,16972,1697300
88,16972,1698006
89,16972,1698219
90,16972,1714590
91,16972,1715635
92,16972,1718570
93,16972,1722329
94,16972,1722638
95,16972,1723925
96,16972,1728120
97,16972,1728718
98,16972,1729854
99,16972,1734493
100,16972,1764059
101,16972,1764403
102,16972,1767602
103,16972,1768095
104,16972,1772940
105,16972,1794153
106,16972,1794820
107,16972,1798736
108,16972,1799957
109,16972,1800620
110,16972,1801585
111,16972,1802080
112,16972,1802225
113,16972,1802277
114,16972,1803295
115,16972,1803898
116,16972,1817652
117,16972,1825611
118,16972,1832158
119,16972,1832439
120,16972,1840750
121,16972,1841757
122,16972,1844568
123,16972,1852993
124,35527,5272
125,35527,16972
126,35527,35527
127,35527,356264
128,35527,712050
129,35527,713676
130,35527,732905
131,35527,733986
132,35527,773411
133,35527,775368
134,35527,857508
135,35527,859139
136,35527,914933
137,35527,944804
138,35527,1002672
139,35527,1008322
140,35527,1056527
141,35527,1078246
142,35527,1080107
143,35527,1082621
144,35527,1105837
145,35527,1119032
146,35527,1130787
147,35527,1140771
148,35527,1166588
149,35527,1271347
150,35527,1285973
151,35527,1297376
152,35527,1360798
153,35527,1364742
154,35527,1373442
155,35527,1374170
156,35527,1376113
157,35527,1388409
158,35527,1394866
159,35527,1399794
160,35527,1411530
161,35527,1415996
162,35527,1418329
163,35527,1447946
164,35527,1454759
165,35527,1463559
166,35527,1508097
167,35527,1509974
168,35527,1510668
169,35527,1535811
