,cik_No1,cik_No2,count
0,5272,16972,1
1,5272,35527,2
2,5272,712050,75
3,5272,713676,1224
4,5272,732905,20
5,5272,773411,278
6,5272,775368,16
7,5272,857508,104
8,5272,859139,2
9,5272,914933,1
10,5272,944804,50
11,5272,1056527,2
12,5272,1080107,11
13,5272,1105837,1
14,5272,1130787,13
15,5272,1140771,1
16,5272,1166588,91
17,5272,1360798,2
18,5272,1364742,97
19,5272,1373442,1
20,5272,1374170,1
21,5272,1394866,1
22,5272,1415996,1
23,5272,1447946,21
24,5272,1463559,13
25,5272,1535811,2
26,5272,1582202,1
27,5272,1595509,6
28,5272,1609674,3
29,5272,1666736,3
30,5272,1715635,3
31,5272,1764403,2
32,5272,1794820,1
33,16972,5272,128
34,16972,16972,5
35,16972,35527,398
36,16972,356264,53
37,16972,712050,95
38,16972,713676,480
39,16972,732905,10
40,16972,733986,33
41,16972,773411,215
42,16972,775368,18
43,16972,857508,31
44,16972,859139,6
45,16972,914933,1
46,16972,944804,22
47,16972,1002672,18
48,16972,1008322,4
49,16972,1056527,1
50,16972,1078246,3
51,16972,1080107,184
52,16972,1082621,4
53,16972,1105837,5
54,16972,1130787,34
55,16972,1140771,10
56,16972,1166588,6
57,16972,1271347,6
58,16972,1285973,19
59,16972,1297376,19
60,16972,1360798,82
61,16972,1364742,365
62,16972,1373442,176
63,16972,1374170,4
64,16972,1376113,17
65,16972,1399794,77
66,16972,1411530,22
67,16972,1415996,49
68,16972,1418329,1
69,16972,1447946,4
70,16972,1454759,7
71,16972,1463559,8
72,16972,1508097,1
73,16972,1509974,38
74,16972,1510668,1
75,16972,1535811,56
76,16972,1539994,2
77,16972,1541897,97
78,16972,1548916,110
79,16972,1595509,18
80,16972,1603001,1
81,16972,1615135,17
82,16972,1633343,1
83,16972,1664713,1
84,16972,1666736,3
85,16972,1672067,21
86,16972,1686444,44
87,16972,1697300,136
88,16972,1698006,6
89,16972,1698219,83
90,16972,1714590,18
91,16972,1715635,15
92,16972,1718570,1
93,16972,1722329,7
94,16972,1722638,47
95,16972,1723925,32
96,16972,1728120,3
97,16972,1728718,4
98,16972,1729854,1
99,16972,1734493,34
100,16972,1764059,49
101,16972,1764403,3
102,16972,1767602,67
103,16972,1768095,85
104,16972,1772940,5
105,16972,1794153,7
106,16972,1794820,40
107,16972,1798736,2
108,16972,1799957,51
109,16972,1800620,35
110,16972,1801585,2
111,16972,1802080,42
112,16972,1802225,48
113,16972,1802277,11
114,16972,1803295,15
115,16972,1803898,60
116,16972,1817652,1
117,16972,1825611,48
118,16972,1832158,26
119,16972,1832439,8
120,16972,1840750,7
121,16972,1841757,14
122,16972,1844568,2
123,16972,1852993,44
124,35527,5272,748
125,35527,16972,49
126,35527,35527,11236
127,35527,356264,99
128,35527,712050,2219
129,35527,713676,17123
130,35527,732905,10
131,35527,733986,1157
132,35527,773411,6514
133,35527,775368,30
134,35527,857508,58
135,35527,859139,153
136,35527,914933,3
137,35527,944804,94
138,35527,1002672,689
139,35527,1008322,42
140,35527,1056527,13
141,35527,1078246,57
142,35527,1080107,7993
143,35527,1082621,89
144,35527,1105837,143
145,35527,1119032,1
146,35527,1130787,916
147,35527,1140771,500
148,35527,1166588,88
149,35527,1271347,350
150,35527,1285973,582
151,35527,1297376,1034
152,35527,1360798,2473
153,35527,1364742,17970
154,35527,1373442,7769
155,35527,1374170,29
156,35527,1376113,605
157,35527,1388409,1
158,35527,1394866,1
159,35527,1399794,2546
160,35527,1411530,992
161,35527,1415996,1916
162,35527,1418329,1
163,35527,1447946,126
164,35527,1454759,340
165,35527,1463559,200
166,35527,1508097,4
167,35527,1509974,1251
168,35527,1510668,1
169,35527,1535811,2361
170,35527,1539994,1
171,35527,1541897,3694
172,35527,1548916,5224
173,35527,1582202,17
174,35527,1595509,618
175,35527,1603001,2
176,35527,1609674,3
177,35527,1615135,555
178,35527,1633343,1
179,35527,1664713,1
180,35527,1666736,9
181,35527,1672067,733
182,35527,1686444,1664
183,35527,1695426,1
184,35527,1697300,2571
185,35527,1698006,1
186,35527,1698219,1024
187,35527,1714590,193
188,35527,1715635,1
189,35527,1722638,595
190,35527,1723925,402
191,35527,1728120,6
192,35527,1734493,147
193,35527,1764059,986
194,35527,1764403,59
195,35527,1767602,1554
196,35527,1768095,1201
197,35527,1794820,3
198,35527,1799957,2173
199,35527,1800620,1165
200,35527,1802080,1199
201,35527,1802225,1819
202,35527,1802277,350
203,35527,1803295,84
204,35527,1803898,1123
205,35527,1825611,574
206,35527,1832158,470
207,35527,1832439,46
208,35527,1841757,158
209,35527,1852993,878
210,356264,5272,128
211,356264,712050,40
212,356264,713676,104
213,356264,732905,11
214,356264,773411,87
215,356264,775368,12
216,356264,857508,38
217,356264,859139,2
218,356264,944804,16
219,356264,1056527,1
220,356264,1130787,6
221,356264,1140771,1
222,356264,1166588,5
223,356264,1364742,6
224,356264,1394866,1
225,356264,1447946,1
226,356264,1463559,1
227,356264,1535811,1
228,356264,1715635,1
229,712050,16972,10
230,712050,35527,2161
231,712050,712050,467
232,712050,713676,3137
233,712050,732905,6
234,712050,733986,228
235,712050,773411,1366
236,712050,775368,16
237,712050,857508,20
238,712050,859139,30
239,712050,914933,1
240,712050,944804,25
241,712050,1002672,130
242,712050,1008322,12
243,712050,1056527,5
244,712050,1078246,39
245,712050,1080107,1485
246,712050,1082621,15
247,712050,1105837,27
248,712050,1130787,207
